country,cases,death,revovery
Samoa,"16,763",31,"1,605"
Monaco,"16,814",67,"15,992"
Tajikistan,"17,786",125,"17,264"
South Sudan,"18,368",138,"18,115"
Equatorial Guinea,"17,229",183,"16,907"
Nicaragua,"18,491",225,"4,225"
Bermuda,"18,860",165,"18,685"
Grenada,"19,693",238,"19,358"
Tonga,"16,817",13,"15,638"
Gibraltar,"20,550",113,"16,579"
Liechtenstein,"21,446",94,"21,352"
Timor-Leste,"23,456",138,"23,102"
Solomon Islands,"24,575",153,N/A
Burkina Faso,"22,056",396,"21,596"
San Marino,"24,319",125,"24,189"
Congo,"25,375",386,"24,006"
Micronesia,"26,459",65,N/A
Benin,"28,014",163,"27,847"
Somalia,"27,334","1,361","13,182"
Saint Lucia,"30,052",409,"29,095"
Lesotho,"34,790",723,"25,980"
Cayman Islands,"31,472",37,"8,553"
Faeroe Islands,"34,658",28,N/A
Mali,"33,151",743,"32,331"
Haiti,"34,301",860,"33,368"
Isle of Man,"38,008",116,N/A
Bahamas,"38,084",844,"36,366"
Mauritius,"42,642","1,051","40,904"
Mayotte,"42,027",188,N/A
Guinea,"38,563",468,"37,757"
Togo,"39,503",290,"39,210"
Tanzania,"43,078",846,N/A
Curaçao,"45,986",295,"44,720"
Papua New Guinea,"46,864",670,"43,982"
Aruba,"44,200",236,"42,438"
Andorra,"48,015",165,"47,563"
Seychelles,"50,937",172,"50,750"
Burundi,"53,954",38,"53,569"
Bhutan,"62,672",21,"61,564"
Mauritania,"63,715",997,"62,471"
Gabon,"48,992",307,"48,674"
Sudan,"63,993","5,046","57,174"
Syria,"57,652","3,165","54,487"
Madagascar,"68,289","1,425","66,862"
Cabo Verde,"64,030",414,"63,519"
French Polynesia,"78,596",649,N/A
Fiji,"69,072",885,"67,154"
New Caledonia,"79,922",314,"79,605"
Guyana,"73,286","1,298","71,955"
Belize,"70,782",688,"70,085"
Eswatini,"74,670","1,425","73,116"
Suriname,"82,563","1,406",N/A
Côte d'Ivoire,"88,331",835,"87,497"
Malawi,"88,728","2,686","85,651"
Senegal,"88,999","1,971","87,024"
Channel Islands,"101,717",228,"101,321"
French Guiana,"98,041",420,"11,254"
Angola,"105,384","1,934","103,419"
DR Congo,"96,890","1,467","84,489"
Malta,"118,858",840,"117,491"
Barbados,"107,794",593,"106,971"
Rwanda,"133,194","1,468","131,647"
Cameroon,"125,087","1,972","122,807"
Cambodia,"138,887","3,056","135,798"
Uganda,"170,775","3,632","100,431"
Namibia,"171,310","4,091","167,099"
Jamaica,"155,063","3,550","102,987"
Maldives,"186,683",316,"163,687"
Trinidad and Tobago,"191,496","4,390","187,078"
Guadeloupe,"202,836","1,017",N/A
Laos,"218,380",758,N/A
Kyrgyzstan,"206,890","2,991","196,406"
El Salvador,"201,785","4,230","179,410"
Iceland,"209,191",229,N/A
Ghana,"171,657","1,462","170,161"
Martinique,"229,975","1,102",N/A
Afghanistan,"222,997","7,923","202,549"
Mozambique,"233,417","2,243","228,805"
Uzbekistan,"253,662","1,637","241,486"
Zimbabwe,"265,289","5,702","258,888"
Nigeria,"266,675","3,155","259,953"
Algeria,"271,851","6,881","183,059"
Montenegro,"291,921","2,828","288,628"
Brunei Darussalam,"308,777",225,"243,601"
Albania,"334,726","3,602","329,428"
Republic of North Macedonia,"348,281","9,677","337,068"
Zambia,"345,961","4,060","340,833"
Armenia,"449,213","8,750","435,162"
Kenya,"343,312","5,688","337,309"
Luxembourg,"319,959","1,232","316,690"
Botswana,"329,953","2,801","327,049"
Bosnia and Herzegovina,"403,030","16,348","379,084"
Honduras,"472,619","11,116",N/A
Réunion,"486,588",921,"418,572"
Qatar,"514,336",690,"513,437"
Oman,"399,449","4,628","384,669"
Ethiopia,"500,920","7,574","488,153"
Libya,"507,266","6,437","500,827"
Venezuela,"552,695","5,856","546,537"
China,"503,302","5,272","379,053"
Estonia,"619,148","3,001","524,990"
Moldova,"620,656","12,123","504,142"
Myanmar,"639,740","19,494","618,738"
Cyprus,"660,854","1,364","546,203"
Dominican Republic,"661,596","4,384","644,785"
Paraguay,"811,204","19,961",N/A
Bahrain,"722,320","1,566","720,660"
State of Palestine,"621,008","5,404","615,445"
Egypt,"516,023","24,613","442,182"
Azerbaijan,"831,894","10,281","821,599"
Latvia,"978,074","6,377","971,406"
Belarus,"994,037","7,118","985,592"
Saudi Arabia,"841,469","9,646","827,923"
Mongolia,"1,010,034","2,179","941,511"
Nepal,"1,003,361","12,031","991,322"
Ecuador,"1,062,275","36,019","942,651"
United Arab Emirates,"1,067,030","2,349","1,054,525"
Cuba,"1,114,669","8,530","1,105,984"
Uruguay,"1,038,774","7,634","1,030,944"
Tunisia,"1,153,361","29,423",N/A
Lebanon,"1,238,411","10,932","1,087,587"
Costa Rica,"1,234,384","9,382","860,711"
Bolivia,"1,201,671","22,387","1,170,245"
Panama,"1,042,631","8,634","1,032,845"
Croatia,"1,273,959","18,269","1,255,516"
Guatemala,"1,257,291","20,205","1,232,923"
Morocco,"1,274,180","16,297","1,256,151"
Bulgaria,"1,308,683","38,412","1,268,437"
Lithuania,"1,321,137","9,691","1,310,759"
Slovenia,"1,344,191","7,100","1,328,006"
Pakistan,"1,581,155","30,661","1,538,689"
Jordan,"1,746,997","14,122","1,731,007"
Norway,"1,485,364","5,556","1,429,233"
Kazakhstan,"1,411,831","13,848","1,383,020"
Ireland,"1,713,340","9,028","262,338"
Finland,"1,481,587","9,886","1,457,246"
Georgia,"1,843,707","17,087","1,776,548"
Slovakia,"1,866,857","21,167","1,844,976"
